time,type,tag,text
415,0,bmp280,bmp280 succeful ini
455,3,bmp280,23.260000 100565.98
485,3,bmp280,23.269999 100566.75
525,3,bmp280,23.269999 100566.75
565,3,bmp280,23.269999 100566.75
605,3,bmp280,23.269999 100566.75
645,3,bmp280,23.269999 100566.75
675,3,bmp280,23.269999 100567.51
715,3,bmp280,23.269999 100567.51
795,3,bmp280,23.279999 100565.65
975,0,mpu9250,Init succeful
975,3,bmp280,23.289999 100565.29
995,4,mpu9250,359.958 0.422 -0.18
1015,3,bmp280,23.299999 100566.03
1025,4,mpu9250,359.502 4.638 -1.96
1045,4,mpu9250,358.914 8.808 -3.82
1075,4,mpu9250,358.262 12.950 -5.6
1095,3,bmp280,23.299999 100566.03
1105,4,mpu9250,357.546 17.027 -7.5
1125,4,mpu9250,356.781 21.037 -9.4
1155,4,mpu9250,355.887 24.952 -11.
1165,3,bmp280,23.299999 100566.79
1175,4,mpu9250,354.801 28.758 -13.
1205,3,bmp280,23.309999 100567.55
1215,4,mpu9250,353.595 32.460 -15.
1245,4,mpu9250,352.392 36.068 -17.
1265,4,mpu9250,351.069 39.569 -19.
1275,3,bmp280,23.309999 100567.55
1295,4,mpu9250,349.539 42.951 -22.
1325,4,mpu9250,347.811 46.202 -24.
1345,4,mpu9250,345.952 49.344 -27.
1355,3,bmp280,23.309999 100568.31
1375,4,mpu9250,343.834 52.335 -29.
1395,3,bmp280,23.309999 100565.69
1405,4,mpu9250,341.266 55.084 -32.
1435,3,bmp280,23.309999 100565.69
1435,4,mpu9250,338.271 57.562 -36.
1465,4,mpu9250,334.975 59.787 -40.
1465,3,bmp280,23.320000 100566.45
1485,4,mpu9250,331.495 61.696 -44.
1505,3,bmp280,23.320000 100566.45
1515,4,mpu9250,328.254 63.197 -48.
1545,4,mpu9250,325.524 64.014 -51.
1565,4,mpu9250,324.444 64.241 -53.
1585,3,bmp280,23.320000 100566.45
1595,4,mpu9250,324.194 64.223 -55.
1615,3,bmp280,23.320000 100567.21
1625,4,mpu9250,326.060 63.843 -54.
1655,4,mpu9250,326.211 63.909 -55.
1655,3,bmp280,23.320000 100567.21
1675,4,mpu9250,327.205 63.754 -55.
1695,3,bmp280,23.320000 100567.21
1705,4,mpu9250,327.824 63.884 -56.
1735,4,mpu9250,328.582 64.026 -56.
1755,4,mpu9250,329.511 63.998 -56.
1765,3,bmp280,23.320000 100567.21
1785,4,mpu9250,331.224 63.785 -56.
1815,4,mpu9250,332.178 63.687 -57.
1835,4,mpu9250,333.364 63.598 -57.
1845,3,bmp280,23.330000 100567.98
1865,4,mpu9250,334.849 63.234 -57.
1885,3,bmp280,23.330000 100567.98
1895,4,mpu9250,335.604 63.253 -58.
1915,4,mpu9250,336.952 63.131 -58.
1925,3,bmp280,23.330000 100567.98
1945,4,mpu9250,338.469 63.096 -58.
1955,3,bmp280,23.330000 100567.98
1975,4,mpu9250,340.084 63.039 -58.
2005,4,mpu9250,340.973 62.975 -59.
2025,4,mpu9250,342.840 62.877 -59.
2035,3,bmp280,23.330000 100567.98
2055,4,mpu9250,344.205 62.910 -59.
2065,3,bmp280,23.330000 100567.98
2085,4,mpu9250,346.102 62.845 -59.
2105,4,mpu9250,347.605 62.882 -60.
2105,3,bmp280,23.330000 100567.98
2135,4,mpu9250,348.948 62.631 -60.
2145,3,bmp280,23.330000 100568.71
2165,4,mpu9250,351.112 61.957 -61.
2185,3,bmp280,23.330000 100568.71
2195,4,mpu9250,352.169 61.949 -62.
2215,4,mpu9250,353.704 61.927 -62.
2245,4,mpu9250,355.537 62.166 -63.
2255,3,bmp280,23.330000 100568.71
2275,4,mpu9250,357.460 62.361 -63.
2295,3,bmp280,23.330000 100568.71
2305,4,mpu9250,359.323 62.376 -64.
2325,4,mpu9250,0.988 62.224 -64.85
2355,4,mpu9250,2.969 61.815 -65.38
2375,3,bmp280,23.330000 100568.71
2385,4,mpu9250,4.913 61.575 -66.03
2405,3,bmp280,23.330000 100568.71
2415,4,mpu9250,7.255 61.234 -66.48
2445,4,mpu9250,9.348 61.512 -67.01
2445,3,bmp280,23.330000 100568.71
2465,4,mpu9250,11.208 61.639 -67.8
2485,3,bmp280,23.330000 100568.71
2495,4,mpu9250,13.125 61.557 -68.7
2525,3,bmp280,23.330000 100568.71
2525,4,mpu9250,15.247 61.413 -69.5
2555,4,mpu9250,17.068 61.614 -70.5
2555,3,bmp280,23.330000 100568.71
2585,4,mpu9250,19.048 61.564 -71.4
2615,4,mpu9250,21.065 61.746 -72.1
2635,3,bmp280,23.330000 100568.71
2645,4,mpu9250,23.048 61.646 -73.0
2675,4,mpu9250,25.669 61.528 -73.5
2675,3,bmp280,23.330000 100568.71
2705,4,mpu9250,27.465 61.650 -74.6
2705,3,bmp280,23.330000 100568.71
2725,4,mpu9250,29.814 61.710 -75.4
2745,3,bmp280,23.330000 100568.71
2755,4,mpu9250,31.800 61.740 -76.5
2785,4,mpu9250,33.363 61.939 -78.0
2805,4,mpu9250,34.483 62.287 -79.8
2825,3,bmp280,23.330000 100568.71
2835,4,mpu9250,37.326 62.454 -80.1
2855,3,bmp280,23.330000 100568.71
2865,4,mpu9250,39.847 62.761 -80.6
2895,4,mpu9250,40.221 63.101 -82.8
2895,3,bmp280,23.330000 100566.09
2915,4,mpu9250,43.450 63.266 -82.4
2935,3,bmp280,23.330000 100566.09
2945,4,mpu9250,46.350 63.122 -82.3
2975,3,bmp280,23.340000 100566.85
2975,4,mpu9250,49.875 63.277 -81.7
3005,4,mpu9250,49.993 63.606 -84.1
3005,3,bmp280,23.340000 100566.85
3035,4,mpu9250,52.021 63.456 -85.0
3045,3,bmp280,23.340000 100566.85
3055,4,mpu9250,54.715 64.753 -85.2
3085,4,mpu9250,56.070 65.747 -87.0
3115,4,mpu9250,57.475 65.720 -88.7
3125,3,bmp280,23.340000 100566.85
3135,4,mpu9250,59.486 64.985 -89.7
3165,3,bmp280,23.340000 100566.85
3165,4,mpu9250,62.566 64.054 -89.3
3195,4,mpu9250,63.223 65.441 -90.9
3195,3,bmp280,23.340000 100566.85
3225,4,mpu9250,66.692 67.566 -89.6
3245,4,mpu9250,70.464 68.569 -88.3
3275,4,mpu9250,66.123 66.733 -94.2
3275,3,bmp280,23.340000 100566.85
3305,4,mpu9250,76.136 65.836 -84.8
3315,3,bmp280,23.340000 100566.85
3325,4,mpu9250,72.529 66.981 -89.6
3345,3,bmp280,23.340000 100566.85
3355,4,mpu9250,68.859 67.234 -94.3
3385,4,mpu9250,79.483 66.730 -83.5
3385,3,bmp280,23.340000 100566.85
3405,4,mpu9250,74.798 66.405 -89.3
3425,3,bmp280,23.340000 100567.59
3435,4,mpu9250,73.385 66.819 -91.2
3465,3,bmp280,23.340000 100567.59
3465,4,mpu9250,81.774 68.375 -83.4
3495,4,mpu9250,75.142 68.571 -91.1
3495,3,bmp280,23.340000 100567.59
3525,4,mpu9250,75.887 67.612 -91.4
3535,3,bmp280,23.340000 100567.59
3545,4,mpu9250,80.230 67.321 -87.7
3575,4,mpu9250,74.950 67.723 -93.8
3575,3,bmp280,23.340000 100567.59
3605,4,mpu9250,79.345 68.846 -90.3
3615,3,bmp280,23.340000 100567.59
3625,4,mpu9250,81.010 68.993 -89.5
3645,3,bmp280,23.340000 100567.59
3655,4,mpu9250,76.316 68.382 -94.9
3685,4,mpu9250,81.393 68.652 -90.2
3685,3,bmp280,23.340000 100567.59
3715,4,mpu9250,79.922 68.895 -92.1
3725,3,bmp280,23.340000 100567.59
3735,4,mpu9250,76.800 68.648 -96.0
3765,3,bmp280,23.340000 100567.59
3765,4,mpu9250,79.941 68.791 -92.6
3795,4,mpu9250,79.556 68.045 -92.7
3795,3,bmp280,23.340000 100567.59
3825,4,mpu9250,80.042 68.481 -92.6
3835,3,bmp280,23.340000 100567.59
3845,4,mpu9250,78.034 69.087 -95.0
3875,4,mpu9250,80.690 69.272 -92.9
3895,4,mpu9250,81.807 69.243 -91.9
3915,3,bmp280,23.340000 100567.59
3925,4,mpu9250,78.980 68.945 -94.7
3945,3,bmp280,23.340000 100567.59
3955,4,mpu9250,82.185 69.337 -91.3
3985,4,mpu9250,79.254 69.152 -94.2
3985,3,bmp280,23.340000 100567.59
4015,4,mpu9250,79.927 68.764 -93.3
4025,3,bmp280,23.340000 100567.59
4045,4,mpu9250,80.790 68.457 -92.3
4065,3,bmp280,23.340000 100567.59
4075,4,mpu9250,76.517 68.528 -96.7
4095,4,mpu9250,75.807 68.770 -97.1
4105,3,bmp280,23.340000 100567.59
4125,4,mpu9250,84.442 68.585 -87.7
4135,3,bmp280,23.340000 100567.59
4155,4,mpu9250,85.978 69.138 -85.8
4175,3,bmp280,23.350000 100568.35
4185,4,mpu9250,78.906 69.068 -93.4
4205,4,mpu9250,82.152 68.518 -90.2
4215,3,bmp280,23.350000 100568.35
4235,4,mpu9250,83.864 67.917 -88.0
4255,3,bmp280,23.350000 100568.35
4265,4,mpu9250,78.801 68.113 -93.5
4295,4,mpu9250,76.862 68.902 -95.4
4315,4,mpu9250,81.280 68.740 -91.2
4325,3,bmp280,23.350000 100568.35
