rawX,rawY,rawZ,comX,comY,comZ
409,-196,-10,-123.890282,-94.491920,-10
424,-206,-7,-123.885735,-94.490387,-7
427,-174,-30,-123.874748,-94.487900,-30
419,-185,-17,-123.878372,-94.489563,-17
431,-167,-10,-123.901321,-94.493332,-10
410,-191,41,-123.920181,-94.492630,41
398,-159,7,-123.926308,-94.491989,7
429,-187,14,-123.918633,-94.491241,14
415,-190,-12,-123.938217,-94.493355,-12
419,-156,-1,-123.952637,-94.495415,-1
420,-167,19,-123.961433,-94.494751,19
416,-188,-5,-123.964745,-94.494484,-5
401,-190,-15,-123.977730,-94.494698,-15
431,-172,-10,-123.979164,-94.493515,-10
409,-171,8,-123.958504,-94.490730,8
419,-189,31,-123.951874,-94.490685,31
411,-186,8,-123.971550,-94.493233,8
418,-201,7,-123.980888,-94.494255,7
429,-182,-9,-124.004074,-94.498077,-9
405,-183,4,-124.001404,-94.496498,4
416,-182,19,-124.029625,-94.499420,19
421,-169,-3,-124.016830,-94.499290,-3
420,-181,19,-124.016655,-94.498329,19
405,-178,17,-123.994476,-94.497292,17
401,-208,22,-123.980881,-94.494576,22
407,-163,22,-123.964485,-94.493279,22
427,-180,3,-123.949699,-94.491516,3
400,-179,34,-123.962982,-94.493401,34
451,-184,6,-123.962547,-94.494934,6
403,-187,9,-123.946045,-94.494141,9
413,-186,24,-123.943169,-94.493843,24
402,-181,-6,-123.930084,-94.492287,-6
421,-191,7,-123.914330,-94.488792,7
422,-190,38,-123.910561,-94.488884,38
410,-189,9,-123.922371,-94.488998,9
427,-180,17,-123.939194,-94.489861,17
408,-180,12,-123.940918,-94.490120,12
402,-191,12,-123.922432,-94.487480,12
424,-186,11,-123.922928,-94.486916,11
409,-192,-4,-123.949631,-94.491714,-4
423,-178,16,-123.911804,-94.487633,16
416,-204,7,-123.931030,-94.490021,7
408,-182,13,-123.915291,-94.487785,13
415,-173,23,-123.897446,-94.483536,23
446,-183,-9,-123.922806,-94.486450,-9
417,-173,12,-123.919640,-94.486534,12
421,-186,34,-123.955338,-94.491692,34
421,-180,25,-123.932396,-94.489563,25
421,-180,21,-123.962975,-94.491943,21
416,-197,21,-123.952698,-94.490448,21
415,-190,-2,-123.949440,-94.492294,-2
413,-180,32,-123.941475,-94.490158,32
413,-186,-2,-123.947647,-94.491028,-2
413,-163,5,-123.930702,-94.489670,5
396,-203,19,-123.938400,-94.489128,19
418,-160,18,-123.934235,-94.490440,18
420,-178,1,-123.952400,-94.493149,1
424,-188,1,-123.940933,-94.491692,1
438,-156,29,-123.954582,-94.494125,29
416,-182,11,-123.947311,-94.493446,11
399,-162,26,-123.947647,-94.493256,26
427,-180,1,-123.961769,-94.494400,1
408,-180,-14,-123.988632,-94.497414,-14
408,-197,16,-123.985367,-94.496948,16
430,-159,21,-123.956635,-94.493690,21
401,-166,3,-123.955536,-94.492722,3
421,-180,-14,-123.934837,-94.489990,-14
434,-180,13,-123.947685,-94.493210,13
398,-179,17,-123.962906,-94.494530,17
423,-191,6,-123.991562,-94.497238,6
419,-168,-13,-123.960411,-94.493149,-13
422,-166,13,-123.953499,-94.492554,13
423,-177,-21,-123.947845,-94.493027,-21
413,-175,14,-123.939247,-94.492325,14
419,-180,11,-123.933891,-94.491943,11
408,-173,7,-123.924126,-94.491402,7
421,-184,-4,-123.894691,-94.488327,-4
406,-173,8,-123.891754,-94.489677,8
419,-147,14,-123.899284,-94.490349,14
425,-175,-2,-123.906631,-94.490181,-2
401,-178,-13,-123.907555,-94.489563,-13
407,-190,16,-123.888428,-94.488396,16
427,-169,-2,-123.924789,-94.493484,-2
408,-173,23,-123.948013,-94.497688,23
412,-191,-4,-123.920700,-94.495949,-4
419,-150,-15,-123.931526,-94.495773,-15
417,-184,-12,-123.942558,-94.498459,-12
419,-174,-2,-123.942955,-94.498528,-2
425,-196,14,-123.939987,-94.497993,14
419,-182,-5,-123.920639,-94.495438,-5
417,-194,5,-123.946815,-94.498291,5
406,-169,15,-123.948242,-94.499908,15
420,-160,12,-123.938789,-94.497490,12
428,-197,5,-123.930313,-94.495651,5
423,-190,-4,-123.922386,-94.494354,-4
420,-201,15,-123.940674,-94.497513,15
418,-190,19,-123.926132,-94.496674,19
446,-186,22,-123.918564,-94.493858,22
409,-198,16,-123.900337,-94.491562,16
427,-187,-5,-123.894867,-94.490723,-5
411,-193,7,-123.911804,-94.494179,7
428,-191,27,-123.927559,-94.496262,27
414,-168,21,-123.954048,-94.499496,21
415,-167,14,-123.947296,-94.499214,14
429,-186,3,-123.966179,-94.499809,3
429,-185,1,-123.973068,-94.500984,1
404,-187,4,-124.011635,-94.506424,4
408,-212,4,-124.020477,-94.506668,4
404,-175,9,-124.033974,-94.507492,9
421,-169,21,-124.039597,-94.507690,21
393,-181,20,-124.022316,-94.506111,20
400,-209,0,-124.028549,-94.506210,0
405,-164,0,-124.007751,-94.503998,0
415,-188,15,-124.021423,-94.505493,15
420,-189,20,-124.009644,-94.504097,20
431,-160,-2,-123.994392,-94.501930,-2
419,-176,-4,-124.005630,-94.503975,-4
418,-164,-20,-123.999237,-94.504044,-20
421,-172,8,-123.983002,-94.502563,8
396,-185,-9,-123.966888,-94.498337,-9
411,-192,-9,-123.952965,-94.495827,-9
404,-175,-8,-123.984978,-94.499313,-8
427,-197,-9,-124.003677,-94.503334,-9
430,-186,28,-124.001404,-94.504990,28
412,-209,2,-124.005455,-94.504829,2
431,-192,-17,-124.010735,-94.504272,-17
408,-171,-8,-124.030128,-94.507011,-8
412,-173,-1,-124.041885,-94.508926,-1
401,-195,-13,-124.052750,-94.509850,-13
418,-154,2,-124.043137,-94.508621,2
409,-189,-10,-124.043747,-94.507668,-10
412,-163,-9,-124.044365,-94.507729,-9
429,-164,-6,-124.046043,-94.508293,-6
416,-201,-2,-124.054695,-94.510803,-2
409,-163,-35,-124.073158,-94.511871,-35
418,-164,-30,-124.071548,-94.511375,-30
418,-175,-5,-124.064850,-94.511482,-5
