['413', '-196', '-38', '-111.736923', '-93.735748', '-38']
['437', '-174', '2', '-111.734383', '-93.734322', '2']
['412', '-146', '-5', '-111.744286', '-93.736153', '-5']
['423', '-163', '-3', '-111.772026', '-93.739906', '-3']
['412', '-182', '-45', '-111.762161', '-93.737465', '-45']
['412', '-173', '-13', '-111.768501', '-93.738930', '-13']
['407', '-190', '-29', '-111.771179', '-93.738411', '-29']
['419', '-196', '-8', '-111.737427', '-93.732437', '-8']
['392', '-184', '-7', '-111.758957', '-93.734627', '-7']
['429', '-187', '-7', '-111.740807', '-93.732590', '-7']
['415', '-174', '-12', '-111.745491', '-93.731339', '-12']
['420', '-180', '-22', '-111.731407', '-93.729630', '-22']
['428', '-151', '6', '-111.725143', '-93.728035', '6']
['415', '-185', '-9', '-111.732132', '-93.728287', '-9']
['428', '-187', '-19', '-111.710518', '-93.724136', '-19']
['410', '-196', '-26', '-111.724098', '-93.726463', '-26']
['399', '-193', '-16', '-111.732773', '-93.728310', '-16']
['418', '-189', '3', '-111.726280', '-93.727280', '3']
['404', '-207', '23', '-111.707024', '-93.723869', '23']
['414', '-183', '-8', '-111.707474', '-93.724022', '-8']
['407', '-211', '-12', '-111.708244', '-93.723717', '-12']
['422', '-190', '-4', '-111.686134', '-93.719902', '-4']
['415', '-201', '14', '-111.688530', '-93.720139', '14']
['405', '-195', '1', '-111.695526', '-93.721542', '1']
['412', '-171', '-10', '-111.683327', '-93.719818', '-10']
['399', '-165', '-18', '-111.697662', '-93.721466', '-18']
['394', '-191', '-12', '-111.704750', '-93.723152', '-12']
['419', '-169', '3', '-111.713226', '-93.724518', '3']
['407', '-163', '10', '-111.713181', '-93.724838', '10']
['416', '-196', '20', '-111.713432', '-93.723816', '20']
['408', '-161', '-18', '-111.704628', '-93.722458', '-18']
['411', '-160', '24', '-111.709015', '-93.722946', '24']
['430', '-169', '21', '-111.709145', '-93.722359', '21']
['427', '-175', '10', '-111.704628', '-93.721886', '10']
['437', '-169', '14', '-111.692734', '-93.719612', '14']
['416', '-173', '2', '-111.687607', '-93.718903', '2']
['404', '-172', '1', '-111.684547', '-93.720222', '1']
['415', '-164', '11', '-111.686348', '-93.720901', '11']
['430', '-155', '18', '-111.673523', '-93.719025', '18']
['414', '-170', '-4', '-111.684547', '-93.720634', '-4']
['393', '-157', '9', '-111.687302', '-93.720802', '9']
['434', '-151', '-3', '-111.669724', '-93.717331', '-3']
['409', '-187', '21', '-111.666084', '-93.717155', '21']
['423', '-183', '12', '-111.679596', '-93.719833', '12']
['428', '-184', '-3', '-111.695129', '-93.722466', '-3']
['415', '-163', '9', '-111.704376', '-93.723282', '9']
['426', '-176', '6', '-111.692154', '-93.720352', '6']
['410', '-172', '7', '-111.694221', '-93.720703', '7']
['414', '-158', '-5', '-111.693764', '-93.720184', '-5']
['413', '-154', '-6', '-111.722252', '-93.724915', '-6']
['421', '-180', '13', '-111.774170', '-93.731537', '13']
['411', '-168', '7', '-111.778145', '-93.731552', '7']
['417', '-191', '-4', '-111.770500', '-93.730820', '-4']
['429', '-166', '-10', '-111.787819', '-93.733742', '-10']
['424', '-163', '21', '-111.790901', '-93.734756', '21']
['403', '-180', '10', '-111.769432', '-93.731186', '10']
['414', '-178', '2', '-111.757927', '-93.729454', '2']
['419', '-176', '-17', '-111.750526', '-93.728073', '-17']
['412', '-145', '-7', '-111.733513', '-93.726273', '-7']
['414', '-166', '9', '-111.733856', '-93.727028', '9']
['422', '-172', '-4', '-111.752785', '-93.728729', '-4']
['416', '-169', '-3', '-111.765259', '-93.731056', '-3']
['432', '-162', '-18', '-111.780449', '-93.733528', '-18']
['397', '-163', '-11', '-111.774452', '-93.732574', '-11']
['423', '-181', '-3', '-111.771271', '-93.732529', '-3']
['417', '-181', '0', '-111.762901', '-93.731140', '0']
['417', '-174', '-13', '-111.743126', '-93.728111', '-13']
['419', '-167', '16', '-111.741684', '-93.728333', '16']
['425', '-187', '-5', '-111.732262', '-93.727692', '-5']
['421', '-158', '6', '-111.729042', '-93.727066', '6']
['415', '-176', '3', '-111.717171', '-93.725037', '3']
['402', '-182', '-32', '-111.736473', '-93.728134', '-32']
['401', '-159', '5', '-111.745163', '-93.727989', '5']
['417', '-177', '16', '-111.740814', '-93.727463', '16']
['419', '-156', '-6', '-111.747986', '-93.728920', '-6']
['426', '-169', '11', '-111.746529', '-93.729568', '11']
['416', '-169', '-13', '-111.757095', '-93.731026', '-13']
['435', '-155', '-2', '-111.750137', '-93.730484', '-2']
['399', '-179', '2', '-111.755516', '-93.731125', '2']
['385', '-142', '-24', '-111.739136', '-93.728996', '-24']
['406', '-151', '10', '-111.722618', '-93.726753', '10']
['423', '-162', '-6', '-111.735939', '-93.729187', '-6']
['401', '-194', '6', '-111.735146', '-93.729813', '6']
['417', '-179', '29', '-111.729813', '-93.728439', '29']
['415', '-177', '-10', '-111.775597', '-93.734833', '-10']
['426', '-186', '-24', '-111.786179', '-93.737473', '-24']
['412', '-185', '-6', '-111.781097', '-93.736832', '-6']
['400', '-171', '5', '-111.766487', '-93.733307', '5']
['420', '-189', '26', '-111.805252', '-93.739510', '26']
['420', '-158', '-11', '-111.801720', '-93.738518', '-11']
['421', '-178', '-4', '-111.812393', '-93.740219', '-4']
['404', '-183', '14', '-111.793556', '-93.736099', '14']
['417', '-182', '3', '-111.789505', '-93.735031', '3']
['421', '-171', '21', '-111.791245', '-93.734741', '21']
['410', '-180', '21', '-111.793091', '-93.735321', '21']
['428', '-199', '9', '-111.789337', '-93.734543', '9']
['427', '-184', '19', '-111.777489', '-93.732643', '19']
['409', '-185', '39', '-111.768723', '-93.731392', '39']
